word,questionId,n
and,255697,5
not,255697,3
packages,255697,3
also,255697,2
dirichlet,255697,2
for,255697,2
found,255697,2
i'm,255697,2
in,255697,2
may,255697,2
package,255697,2
r,255697,2
the,255697,2
across,255697,1
all,255697,1
already,255697,1
as,255697,1
come,255697,1
construct,255697,1
cran,255697,1
ddirichlet,255697,1
deal,255697,1
distribution,255697,1
dppackage,255697,1
etc,255697,1
function,255697,1
functions,255697,1
gtools,255697,1
hope,255697,1
i,255697,1
i've,255697,1
if,255697,1
likelihood,255697,1
log,255697,1
mark,255697,1
mcmc,255697,1
mix,255697,1
much,255697,1
need,255697,1
negative,255697,1
nlmin,255697,1
optim,255697,1
optimize,255697,1
or,255697,1
passing,255697,1
provide,255697,1
results,255697,1
rsitesearch,255697,1
scrolling,255697,1
searching,255697,1
still,255697,1
suggests,255697,1
sure,255697,1
then,255697,1
tools,255697,1
unsuitable,255697,1
use,255697,1
useful,255697,1
vgam,255697,1
with,255697,1
