Neighbors,Misclassification Rate,CV Fold
1,0.42589463520608295,1
1,0.42529117132339633,2
1,0.425623076458874,3
1,0.4229678353750528,4
1,0.42873091545471,5
1,0.4262265403415606,6
1,0.4242954559169634,7
1,0.42538169090579925,8
1,0.42507995896445594,9
1,0.41533401725906705,10
2,0.4270412165831875,1
2,0.4232092209281274,2
2,0.4220928127451572,3
2,0.4234807796753365,4
2,0.43048096071450126,5
2,0.4262265403415606,6
2,0.4207651922032466,7
2,0.4233600868987991,8
2,0.4199505159616197,9
2,0.41467020698811174,10
3,0.4133124132520669,1
3,0.41104942369199204,2
3,0.4081226238609619,3
3,0.40757950636654394,4
3,0.41325206686379823,5
3,0.41207531229255934,6
3,0.407036388872126,7
3,0.4105666525858427,8
3,0.4127391225635145,9
3,0.40522599722406616,10
4,0.411683060768813,1
4,0.4087260877436485,2
4,0.4122563514573653,3
4,0.40981232273248447,4
4,0.4142477822702312,5
4,0.4092993784322009,6
4,0.4088166073260515,7
4,0.4072476012310663,8
4,0.412407217428037,9
4,0.40537686319473776,10
5,0.4059199806891558,1
5,0.4022388510047674,2
5,0.4032647396053346,3
5,0.4000663810270956,4
5,0.4055579023595438,5
5,0.4015448675396778,6
5,0.4018767726751554,7
5,0.40151469434554343,8
5,0.4035061251584092,9
5,0.39674732967231907,10
6,0.4029630076639913,1
6,0.4015448675396778,2
6,0.40027759338603586,3
6,0.39843702854384166,4
6,0.4033250859936033,5
6,0.40042845935670746,6
6,0.3998853418622895,7
6,0.3987689336793193,8
6,0.40018707380363283,9
6,0.3974413131374087,10
7,0.40196729225755834,1
7,0.3946352060829159,2
7,0.39526884315973687,3
7,0.394544686500513,4
7,0.39620421217790114,5
7,0.3954498823245429,6
7,0.39216100416390076,7
7,0.3944843401122443,8
7,0.39379035664715467,9
7,0.39104459598093055,10
8,0.39997586144469255,1
8,0.3931567195703337,2
8,0.394092088588498,3
8,0.3943334741415726,4
8,0.39369983706475165,5
8,0.3927946412407217,6
8,0.39282481443485606,7
8,0.3935791442882144,8
8,0.393730010258886,9
8,0.39110494236919924,10
9,0.39732062036087146,1
9,0.39179892583428877,2
9,0.3901997465451693,3
9,0.39044113209824394,4
9,0.38884195280912437,5
9,0.38869108683845277,6
9,0.39038078570997525,7
9,0.3883290085088408,8
9,0.39001870738036326,9
9,0.38881177961499,10
10,0.39590248023655783,1
10,0.3909239032043932,2
10,0.3893850703035423,3
10,0.38920403113873636,4
10,0.38956610946834835,5
10,0.38838935489710946,6
10,0.38860056725604974,7
10,0.3860056725604972,8
10,0.3921911773580351,9
10,0.3886307404501841,10
